#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t 
-4.027778,1,29.049962
-4.027778,1,29.05096
-3.972222,1,29.056943
-4.027778,1,29.057941
-3.972222,1,29.059935
-4.027778,1,29.061939
-3.972222,1,29.062927
-4.027778,1,29.068924
-4.027778,1,29.070905
-3.972222,1,29.071904
-3.972222,1,29.073897
-4.027778,1,29.074895
-3.972222,1,29.080879
-3.972222,1,29.081877
-3.972222,1,29.083873
-4.027778,1,29.084869
-3.972222,1,29.086863
-3.972222,1,29.091851
-3.972222,1,29.093845
-4.027778,1,29.095843
-4.027778,1,29.096837
-3.972222,1,29.098837
-4.027778,1,29.103818
-3.972222,1,29.104814
-4.027778,1,29.106815
-4.027778,1,29.108804
-4.027778,1,29.109801
-4.027778,1,29.114789
-3.972222,1,29.116782
-4.027778,1,29.117781
-3.972222,1,29.119776
-3.972222,1,29.121771
-3.972222,1,29.126756
-4.027778,1,29.128758
-3.972222,1,29.130746
-3.972222,1,29.131744
-3.972222,1,29.133737
-3.972222,1,29.138725
-3.972222,1,29.139721
-3.972222,1,29.141721
-3.972222,1,29.143711
-3.972222,1,29.144708
-4.027778,1,29.150706
-4.027778,1,29.151689
-3.972222,1,29.153685
-3.972222,1,29.155679
-3.972222,1,29.156676
-3.972222,1,29.161662
-3.972222,1,29.163659
-3.972222,1,29.165652
-4.027778,1,29.166652
-3.972222,1,29.168645
-3.972222,1,29.173631
-4.027778,1,29.175633
-3.972222,1,29.17762
-3.972222,1,29.178617
-3.972222,1,29.180612
-3.972222,1,29.1856
-4.027778,1,29.187593
-3.972222,1,29.188592
-4.027778,1,29.190585
-3.972222,1,29.19258
-3.972222,1,29.197582
-3.972222,1,29.199562
-3.972222,1,29.200558
-4.027778,1,29.202553
-4.027778,1,29.20356
-4.027778,1,29.209535
-3.972222,1,29.210533
-3.972222,1,29.212528
-3.972222,1,29.213525
-3.972222,1,29.21552
-3.972222,1,29.220505
-3.972222,1,29.221503
-4.027778,1,29.223497
-3.972222,1,29.224494
-3.972222,1,29.226489
-4.027778,1,29.231477
-3.972222,1,29.233471
-3.972222,1,29.234468
-4.027778,1,29.236463
-3.972222,1,29.238458
-4.027778,1,29.243456
-4.027778,1,29.244442
-4.027778,1,29.246436
-4.027778,1,29.248432
-3.972222,1,29.249428
-3.972222,1,29.254416
-3.972222,1,29.25641
-3.972222,1,29.258404
-4.027778,1,29.259402
-4.027778,1,29.261399
-3.972222,1,29.266384
-4.027778,1,29.268377
-3.972222,1,29.270372
-4.027778,1,29.271369
-3.972222,1,29.273364
-4.027778,1,29.278361
-3.972222,1,29.280345
-3.972222,1,29.281343
-4.027778,1,29.283338
-4.027778,1,29.285334
-3.972222,1,29.290329
-3.972222,1,29.292314
-3.972222,1,29.293311
-3.972222,1,29.295305
-3.972222,1,29.296306
-3.972222,1,29.302287
-3.972222,1,29.304282
-4.027778,1,29.306277
-3.972222,1,29.307286
-3.972222,1,29.309268
-4.027778,1,29.315253
-3.972222,1,29.31625
-3.972222,1,29.318244
-3.972222,1,29.319266
-3.972222,1,29.321236
-3.972222,1,29.326224
-3.972222,1,29.32822
-3.972222,1,29.329215
-3.972222,1,29.331209
-4.027778,1,29.333204
-4.027778,1,29.338192
-3.972222,1,29.340186
-4.027778,1,29.342191
-4.027778,1,29.343177
-3.972222,1,29.345177
-4.027778,1,29.350159
-3.972222,1,29.352154
-4.027778,1,29.353166
-3.972222,1,29.355145
-3.972222,1,29.356165
-4.027778,1,29.362132
-4.027778,1,29.364122
-3.972222,1,29.365119
-4.027778,1,29.367113
-3.972222,1,29.368112
-3.972222,1,29.374096
-3.972222,1,29.376093
-4.027778,1,29.378084
-3.972222,1,29.379097
-3.972222,1,29.381076
-4.027778,1,29.386071
-4.027778,1,29.387068
-4.027778,1,29.389056
-3.972222,1,29.390064
-3.972222,1,29.392047
-4.027778,1,29.397039
-4.027778,1,29.398032
-3.972222,1,29.400026
-3.972222,1,29.40202
-4.027778,1,29.403017
-3.972222,1,29.409002
-3.972222,1,29.409999
-4.027778,1,29.412004
-4.027778,1,29.412991
-4.027778,1,29.414985
-4.027778,1,29.419972
-4.027778,1,29.421967
-3.972222,1,29.422993
-3.972222,1,29.424958
-3.972222,1,29.426954
-4.027778,1,29.43194
-4.027778,1,29.432937
-4.027778,1,29.434939
-3.972222,1,29.43596
-4.027778,1,29.437925
-4.027778,1,29.442911
-3.972222,1,29.444906
-4.027778,1,29.445903
-4.027778,1,29.447901
-3.972222,1,29.448895
-4.027778,1,29.453882
-3.972222,1,29.455876
-3.972222,1,29.456879
-4.027778,1,29.458868
-4.027778,1,29.460864
-4.027778,1,29.464853
-3.972222,1,29.466851
-3.972222,1,29.468843
-4.027778,1,29.46984
-3.972222,1,29.471834
-4.027778,1,29.476822
-3.972222,1,29.478815
-3.972222,1,29.479814
-4.027778,1,29.481808
-3.972222,1,29.482805
-4.027778,1,29.488788
-4.027778,1,29.489786
-4.027778,1,29.49178
-4.027778,1,29.493775
-3.972222,1,29.494772
-4.027778,1,29.500756
-4.027778,1,29.501753
-4.027778,1,29.503749
-3.972222,1,29.504762
-3.972222,1,29.506745
-3.972222,1,29.511727
-3.972222,1,29.513722
-3.972222,1,29.515728
-3.972222,1,29.517711
-3.972222,1,29.518709
-4.027778,1,29.524692
-3.972222,1,29.525689
-3.972222,1,29.527684
-3.972222,1,29.528701
-4.027778,1,29.530676
-4.027778,1,29.535664
-4.027778,1,29.537659
-3.972222,1,29.538656
-4.027778,1,29.540655
-3.972222,1,29.542645
-3.972222,1,29.547631
-4.027778,1,29.548656
-3.972222,1,29.550623
-3.972222,1,29.552618
-3.972222,1,29.553615
-4.027778,1,29.559601
-3.972222,1,29.561594
-4.027778,1,29.562592
-3.972222,1,29.564585
-4.027778,1,29.565584
-4.027778,1,29.571567
-3.972222,1,29.573562
-3.972222,1,29.57456
-4.027778,1,29.576555
-4.027778,1,29.578548
-4.027778,1,29.583547
-3.972222,1,29.584532
-4.027778,1,29.586527
-4.027778,1,29.587525
-3.972222,1,29.58952
-4.027778,1,29.594507
-3.972222,1,29.5965
-3.972222,1,29.598495
-3.972222,1,29.599492
-4.027778,1,29.601495
-3.972222,1,29.606474
-4.027778,1,29.608468
-3.972222,1,29.610464
-3.972222,1,29.611461
-3.972222,1,29.613455
-3.972222,1,29.618442
-4.027778,1,29.619463
-3.972222,1,29.621435
-4.027778,1,29.62343
-3.972222,1,29.624445
-3.972222,1,29.629425
-3.972222,1,29.631407
-3.972222,1,29.633402
-4.027778,1,29.6344
-3.972222,1,29.636394
-3.972222,1,29.641381
-3.972222,1,29.642379
-3.972222,1,29.644372
-4.027778,1,29.645395
-3.972222,1,29.647364
-3.972222,1,29.652352
-4.027778,1,29.654346
-4.027778,1,29.656341
-4.027778,1,29.657337
-3.972222,1,29.659333
-4.027778,1,29.664319
-3.972222,1,29.666315
-3.972222,1,29.667311
-4.027778,1,29.669306
-4.027778,1,29.671307
-4.027778,1,29.677284
-4.027778,1,29.678282
-4.027778,1,29.680277
-3.972222,1,29.681275
-4.027778,1,29.68327
-3.972222,1,29.688256
-3.972222,1,29.689252
-4.027778,1,29.691247
-3.972222,1,29.692245
-4.027778,1,29.69424
-4.027778,1,29.700235
-3.972222,1,29.702217
-4.027778,1,29.703215
-3.972222,1,29.70521
-4.027778,1,29.706231
-4.027778,1,29.712192
-3.972222,1,29.714185
-4.027778,1,29.715184
-4.027778,1,29.717178
-3.972222,1,29.719172
-4.027778,1,29.72416
-4.027778,1,29.726154
-4.027778,1,29.727152
-3.972222,1,29.729147
-4.027778,1,29.731141
-3.972222,1,29.73613
-3.972222,1,29.738121
-3.972222,1,29.739119
-4.027778,1,29.741114
-4.027778,1,29.742152
-3.972222,1,29.748115
-3.972222,1,29.749092
-3.972222,1,29.751102
-4.027778,1,29.753082
-3.972222,1,29.754108
-4.027778,1,29.760063
-3.972222,1,29.761065
-4.027778,1,29.763055
-3.972222,1,29.765052
-4.027778,1,29.766047
-4.027778,1,29.772031
-3.972222,1,29.774027
-4.027778,1,29.775035
-4.027778,1,29.777018
-3.972222,1,29.778016
-4.027778,1,29.784
-3.972222,1,29.784996
-3.972222,1,29.786991
-3.972222,1,29.787988
-3.972222,1,29.789983
-3.972222,1,29.794971
-3.972222,1,29.795968
-4.027778,1,29.797962
-3.972222,1,29.798959
-4.027778,1,29.800954
-3.972222,1,29.805941
-4.027778,1,29.807936
-3.972222,1,29.808932
-4.027778,1,29.810927
-4.027778,1,29.811949
-3.972222,1,29.817909
-4.027778,1,29.819913
-3.972222,1,29.820901
-3.972222,1,29.822895
-3.972222,1,29.823892
-3.972222,1,29.829878
-3.972222,1,29.830875
-3.972222,1,29.832882
-3.972222,1,29.833867
-3.972222,1,29.835862
-3.972222,1,29.840848
-4.027778,1,29.842842
-4.027778,1,29.843865
-3.972222,1,29.845834
-4.027778,1,29.847828
-3.972222,1,29.852815
-4.027778,1,29.853813
-3.972222,1,29.85582
-3.972222,1,29.857803
-4.027778,1,29.858799
-3.972222,1,29.864783
-3.972222,1,29.865805
-3.972222,1,29.867776
-4.027778,1,29.869777
-3.972222,1,29.870767
-3.972222,1,29.875767
-4.027778,1,29.877762
-4.027778,1,29.879743
-3.972222,1,29.88074
-4.027778,1,29.882735
-3.972222,1,29.887722
-4.027778,1,29.889716
-4.027778,1,29.890717
-3.972222,1,29.892708
-3.972222,1,29.894703
-4.027778,1,29.899689
-3.972222,1,29.900711
-3.972222,1,29.902682
-3.972222,1,29.904676
-4.027778,1,29.905674
-4.027778,1,29.911658
-4.027778,1,29.912656
-4.027778,1,29.91465
-4.027778,1,29.916646
-3.972222,1,29.917643
-3.972222,1,29.923627
-4.027778,1,29.925621
-4.027778,1,29.92662
-4.027778,1,29.928613
-3.972222,1,29.92961
-3.972222,1,29.934597
-4.027778,1,29.936591
-4.027778,1,29.93759
-3.972222,1,29.939586
-3.972222,1,29.94058
-3.972222,1,29.946566
-4.027778,1,29.947562
-4.027778,1,29.949558
-4.027778,1,29.950555
-4.027778,1,29.952549
-3.972222,1,29.958534
-4.027778,1,29.959531
-3.972222,1,29.961524
-4.027778,1,29.962541
-3.972222,1,29.964519
-3.972222,1,29.969514
-4.027778,1,29.970501
-4.027778,1,29.972497
-4.027778,1,29.97449
-3.972222,1,29.975488
-4.027778,1,29.981471
-4.027778,1,29.98247
-3.972222,1,29.984463
-4.027778,1,29.986459
-3.972222,1,29.987458
-4.027778,1,29.992442
-4.027778,1,29.994443
-4.027778,1,29.996432
-4.027778,1,29.997428
-3.972222,1,29.999423
-3.972222,1,30.00441
-3.972222,1,30.006406
-4.027778,1,30.008399
-4.027778,1,30.009396
-3.972222,1,30.011391
-3.972222,1,30.017375
-4.027778,1,30.018373
-4.027778,1,30.020367
-4.027778,1,30.022362
-4.027778,1,30.023359
-3.972222,1,30.029343
-4.027778,1,30.030341
-4.027778,1,30.032335
-4.027778,1,30.033333
-3.972222,1,30.035327
-3.972222,1,30.040314
-3.972222,1,30.042309
-4.027778,1,30.043306
-4.027778,1,30.0453
-3.972222,1,30.047297
-3.972222,1,30.052282
-3.972222,1,30.054277
-4.027778,1,30.055291
-3.972222,1,30.05727
-3.972222,1,30.058266
-3.972222,1,30.08153
-3.972222,1,30.083506
-4.027778,1,30.084502
-3.972222,1,30.086495
-4.027778,1,30.08849
-3.972222,1,30.093477
-3.972222,1,30.094475
-4.027778,1,30.096478
-3.972222,1,30.098472
-3.972222,1,30.099462
-3.972222,1,30.104448
-4.027778,1,30.106442
-3.972222,1,30.108444
-3.972222,1,30.109435
-3.972222,1,30.111429
-3.972222,1,30.116416
-4.027778,1,30.11841
-4.027778,1,30.120415
-4.027778,1,30.121409
-4.027778,1,30.123397
-3.972222,1,30.129382
-3.972222,1,30.13038
-3.972222,1,30.132373
-4.027778,1,30.134369
-3.972222,1,30.135366
-3.972222,1,30.140352
-3.972222,1,30.142346
-4.027778,1,30.144341
-3.972222,1,30.145339
-3.972222,1,30.147333
-3.972222,1,30.15232
-3.972222,1,30.154314
-4.027778,1,30.155312
-3.972222,1,30.157308
-3.972222,1,30.159301
-4.027778,1,30.164288
-4.027778,1,30.166282
-3.972222,1,30.167281
-3.972222,1,30.169274
-4.027778,1,30.17127
-3.972222,1,30.176255
-4.027778,1,30.17825
-4.027778,1,30.179265
-4.027778,1,30.181242
-3.972222,1,30.182269
-4.027778,1,30.188224
-3.972222,1,30.189221
-3.972222,1,30.191216
-3.972222,1,30.193212
-3.972222,1,30.194219
-3.972222,1,30.199195
-4.027778,1,30.201198
-4.027778,1,30.203186
-3.972222,1,30.20419
-4.027778,1,30.206176
-3.972222,1,30.211162
-4.027778,1,30.213157
-3.972222,1,30.214155
-4.027778,1,30.21615
-4.027778,1,30.217147
-3.972222,1,30.22313
-3.972222,1,30.225126
-4.027778,1,30.226124
-3.972222,1,30.228117
-3.972222,1,30.229115
-3.972222,1,30.235098
-4.027778,1,30.236097
-3.972222,1,30.23809
-3.972222,1,30.239088
-4.027778,1,30.241082
-3.972222,1,30.246069
-3.972222,1,30.248064
-3.972222,1,30.249061
-3.972222,1,30.251056
-3.972222,1,30.253052
-4.027778,1,30.258037
-3.972222,1,30.260034
-3.972222,1,30.261032
-3.972222,1,30.263024
-3.972222,1,30.265019
-3.972222,1,30.270005
-4.027778,1,30.272001
-4.027778,1,30.272998
-4.027778,1,30.274992
-4.027778,1,30.276017
-4.027778,1,30.281976
-3.972222,1,30.283978
-4.027778,1,30.284966
-4.027778,1,30.28696
-3.972222,1,30.288955
-3.972222,1,30.293941
-3.972222,1,30.294938
-3.972222,1,30.296933
-3.972222,1,30.29894
-3.972222,1,30.299927
-3.972222,1,30.305912
-4.027778,1,30.306914
-4.027778,1,30.308903
-3.972222,1,30.310901
-3.972222,1,30.312892
-4.027778,1,30.317877
-3.972222,1,30.318874
-3.972222,1,30.320869
-4.027778,1,30.322864
-3.972222,1,30.323861
-4.027778,1,30.329846
-3.972222,1,30.330844
-4.027778,1,30.332837
-3.972222,1,30.333835
-3.972222,1,30.335829
-3.972222,1,30.340816
-4.027778,1,30.342811
-3.972222,1,30.343807
-3.972222,1,30.345803
-4.027778,1,30.346802
-4.027778,1,30.352785
-3.972222,1,30.353783
-3.972222,1,30.355776
-3.972222,1,30.356773
-3.972222,1,30.358768
-3.972222,1,30.363755
-3.972222,1,30.365749
-3.972222,1,30.366748
-3.972222,1,30.368742
-3.972222,1,30.370736
-4.027778,1,30.375724
-4.027778,1,30.377717
-3.972222,1,30.379712
-4.027778,1,30.381707
-3.972222,1,30.382705
-3.972222,1,30.38769
-3.972222,1,30.389695
-3.972222,1,30.391681
-4.027778,1,30.392678
-4.027778,1,30.394672
-3.972222,1,30.399659
-3.972222,1,30.400656
-4.027778,1,30.40265
-3.972222,1,30.403649
-3.972222,1,30.405643
-4.027778,1,30.41063
-3.972222,1,30.411647
-4.027778,1,30.413621
-4.027778,1,30.415616
-4.027778,1,30.416614
-4.027778,1,30.422597
-4.027778,1,30.423596
-3.972222,1,30.425598
-3.972222,1,30.426588
-4.027778,1,30.428581
-4.027778,1,30.434566
-3.972222,1,30.435563
-3.972222,1,30.437566
-4.027778,1,30.438564
-4.027778,1,30.440549
-4.027778,1,30.445536
-3.972222,1,30.447531
-4.027778,1,30.44853
-3.972222,1,30.450522
-3.972222,1,30.451519
-4.027778,1,30.456507
-3.972222,1,30.458501
-3.972222,1,30.459527
-4.027778,1,30.461495
-4.027778,1,30.463489
-4.027778,1,30.468476
-4.027778,1,30.469473
-3.972222,1,30.471467
-3.972222,1,30.473464
-3.972222,1,30.474459
-4.027778,1,30.480443
-3.972222,1,30.481441
-3.972222,1,30.483443
-4.027778,1,30.484432
-4.027778,1,30.486427
-4.027778,1,30.491413
-3.972222,1,30.49341
-3.972222,1,30.494405
-3.972222,1,30.4964
-4.027778,1,30.497397
-3.972222,1,30.503381
-3.972222,1,30.50438
-3.972222,1,30.506373
-3.972222,1,30.507371
-3.972222,1,30.509365
-3.972222,1,30.514354
-3.972222,1,30.516356
-3.972222,1,30.517383
-4.027778,1,30.51934
-3.972222,1,30.521343
-3.972222,1,30.527321
-3.972222,1,30.528315
-3.972222,1,30.530309
-3.972222,1,30.531308
-4.027778,1,30.533303
-4.027778,1,30.538288
-4.027778,1,30.540283
-3.972222,1,30.541282
-3.972222,1,30.543275
-3.972222,1,30.545269
-4.027778,1,30.550256
-3.972222,1,30.551255
-3.972222,1,30.553249
-4.027778,1,30.554245
-3.972222,1,30.55624
-4.027778,1,30.561228
-3.972222,1,30.563221
-4.027778,1,30.564234
-4.027778,1,30.566215
-3.972222,1,30.568208
-3.972222,1,30.574192
-3.972222,1,30.575191
-3.972222,1,30.577184
-4.027778,1,30.578182
-4.027778,1,30.580176
-4.027778,1,30.586162
-4.027778,1,30.587158
-4.027778,1,30.589157
-3.972222,1,30.590149
-3.972222,1,30.592145
-4.027778,1,30.597132
-3.972222,1,30.599126
-3.972222,1,30.600124
-3.972222,1,30.602118
-4.027778,1,30.603116
-3.972222,1,30.609099
-3.972222,1,30.611094
-3.972222,1,30.612092
-4.027778,1,30.614085
-3.972222,1,30.615099
-3.972222,1,30.621068
-4.027778,1,30.622064
-4.027778,1,30.62406
-3.972222,1,30.625057
-4.027778,1,30.627051
-3.972222,1,30.633035
-4.027778,1,30.634033
-3.972222,1,30.636038
-4.027778,1,30.637025
-3.972222,1,30.639019
-3.972222,1,30.64402
-4.027778,1,30.645003
-3.972222,1,30.646998
-3.972222,1,30.648993
-3.972222,1,30.64999
-3.972222,1,30.654978
-4.027778,1,30.656971
-3.972222,1,30.657969
-3.972222,1,30.659963
-4.027778,1,30.66096
-3.972222,1,30.665947
-3.972222,1,30.667941
-3.972222,1,30.669936
-3.972222,1,30.670933
-4.027778,1,30.67293
-4.027778,1,30.677915
-4.027778,1,30.67992
-4.027778,1,30.681908
-3.972222,1,30.682902
-4.027778,1,30.684896
-4.027778,1,30.689884
-4.027778,1,30.691877
-3.972222,1,30.693878
-4.027778,1,30.69487
-3.972222,1,30.696864
-3.972222,1,30.701851
-3.972222,1,30.703845
-4.027778,1,30.704844
-3.972222,1,30.706837
-3.972222,1,30.707836
-4.027778,1,30.713819
-3.972222,1,30.714816
-4.027778,1,30.716811
-4.027778,1,30.717853
-4.027778,1,30.719819
-4.027778,1,30.72479
-3.972222,1,30.726784
-3.972222,1,30.728783
-3.972222,1,30.729776
-3.972222,1,30.731771
-3.972222,1,30.736758
-4.027778,1,30.738752
-4.027778,1,30.739749
-4.027778,1,30.741745
-3.972222,1,30.743739
-3.972222,1,30.748726
-3.972222,1,30.75072
-3.972222,1,30.751719
-4.027778,1,30.753713
-4.027778,1,30.75471
-3.972222,1,30.760694
-3.972222,1,30.761692
-3.972222,1,30.763685
-3.972222,1,30.76568
-3.972222,1,30.766678
-3.972222,1,30.772663
-3.972222,1,30.773659
-3.972222,1,30.775659
-4.027778,1,30.77766
-4.027778,1,30.778646
-3.972222,1,30.78463
-4.027778,1,30.785627
-4.027778,1,30.787622
-3.972222,1,30.78862
-4.027778,1,30.790615
-3.972222,1,30.795601
-3.972222,1,30.797596
-4.027778,1,30.799591
-4.027778,1,30.800588
-4.027778,1,30.802581
-3.972222,1,30.807568
-3.972222,1,30.809563
-3.972222,1,30.810561
-3.972222,1,30.812557
-3.972222,1,30.81455
-3.972222,1,30.81955
-3.972222,1,30.821531
-3.972222,1,30.823527
-4.027778,1,30.824524
-3.972222,1,30.826519
-4.027778,1,30.831505
-4.027778,1,30.8335
-4.027778,1,30.834496
-3.972222,1,30.836491
-4.027778,1,30.838487
-3.972222,1,30.843473
-4.027778,1,30.84548
-3.972222,1,30.846477
-3.972222,1,30.848459
-4.027778,1,30.849456
-4.027778,1,30.855445
-4.027778,1,30.856438
-3.972222,1,30.858433
-3.972222,1,30.860428
-3.972222,1,30.861436
-3.972222,1,30.866414
-4.027778,1,30.868407
-4.027778,1,30.869413
-4.027778,1,30.87141
-3.972222,1,30.873394
-3.972222,1,30.878379
-3.972222,1,30.879378
-3.972222,1,30.881371
-3.972222,1,30.883367
-3.972222,1,30.884363
-3.972222,1,30.88935
-3.972222,1,30.891344
-4.027778,1,30.89334
-3.972222,1,30.894336
-4.027778,1,30.89634
-3.972222,1,30.901319
-4.027778,1,30.903312
-3.972222,1,30.905307
-3.972222,1,30.906306
-3.972222,1,30.90832
-4.027778,1,30.913286
-3.972222,1,30.914291
-3.972222,1,30.916278
-3.972222,1,30.9173
-3.972222,1,30.91927
-4.027778,1,30.925254
-3.972222,1,30.926252
-4.027778,1,30.928246
-3.972222,1,30.929244
-4.027778,1,30.931237
-3.972222,1,30.936225
-3.972222,1,30.938226
-4.027778,1,30.939222
-3.972222,1,30.941211
-4.027778,1,30.943206
-4.027778,1,30.948192
-3.972222,1,30.950188
-4.027778,1,30.952183
-3.972222,1,30.95318
-3.972222,1,30.955174
-3.972222,1,30.960162
-4.027778,1,30.962155
-3.972222,1,30.963154
-3.972222,1,30.965148
-4.027778,1,30.966159
-4.027778,1,30.972133
-4.027778,1,30.974123
-3.972222,1,30.975135
-4.027778,1,30.97712
-3.972222,1,30.978114
-4.027778,1,30.984108
-3.972222,1,30.985094
-3.972222,1,30.987101
-3.972222,1,30.988087
-4.027778,1,30.990082
-3.972222,1,30.996066
-4.027778,1,30.997075
-3.972222,1,30.999056
-4.027778,1,31.000055
-4.027778,1,31.002048
-3.972222,1,31.007036
-3.972222,1,31.00903
-3.972222,1,31.011034
-4.027778,1,31.012022
-3.972222,1,31.014017
-3.972222,1,31.019003
-4.027778,1,31.020998
-3.972222,1,31.021996
-3.972222,1,31.02399
-4.027778,1,31.024988
-3.972222,1,31.030972
-3.972222,1,31.032966
-3.972222,1,31.033963
-3.972222,1,31.035969
-3.972222,1,31.036955
-3.972222,1,31.042947
-3.972222,1,31.044935
-4.027778,1,31.045932
-3.972222,1,31.047925
-3.972222,1,31.048924
-3.972222,1,31.054907
-4.027778,1,31.055905
-4.027778,1,31.057904
-4.027778,1,31.058898
-3.972222,1,31.060891
-4.027778,1,31.065891
-4.027778,1,31.067873
-3.972222,1,31.069868
-4.027778,1,31.070866
-3.972222,1,31.07286
-3.972222,1,31.077846
-4.027778,1,31.079841
-3.972222,1,31.081836
-3.972222,1,31.082833
-3.972222,1,31.084827
-4.027778,1,31.089833
-4.027778,1,31.091809
-3.972222,1,31.092807
-4.027778,1,31.0948
-3.972222,1,31.095798
-4.027778,1,31.101782
-3.972222,1,31.102783
-4.027778,1,31.104774
-4.027778,1,31.105771
-4.027778,1,31.107766
-4.027778,1,31.112752
-4.027778,1,31.114748
-3.972222,1,31.115745
-4.027778,1,31.117739
-4.027778,1,31.118764
-3.972222,1,31.12472
-3.972222,1,31.125745
-4.027778,1,31.127713
-4.027778,1,31.12874
-4.027778,1,31.130704
-4.027778,1,31.136689
-4.027778,1,31.137687
-3.972222,1,31.13968
-4.027778,1,31.14068
-4.027778,1,31.142686
-4.027778,1,31.147659
-4.027778,1,31.149655
-4.027778,1,31.150652
-3.972222,1,31.152646
-3.972222,1,31.153644
-3.972222,1,31.159627
-3.972222,1,31.160626
-4.027778,1,31.162619
-4.027778,1,31.164628
-3.972222,1,31.165612
-3.972222,1,31.171596
-3.972222,1,31.172592
-3.972222,1,31.174587
-3.972222,1,31.176587
-3.972222,1,31.17758
-3.972222,1,31.183572
-4.027778,1,31.184561
-4.027778,1,31.186557
-3.972222,1,31.187553
-3.972222,1,31.189547
-3.972222,1,31.194534
-3.972222,1,31.196531
-3.972222,1,31.197526
-4.027778,1,31.199521
-3.972222,1,31.201516
-4.027778,1,31.206502
-3.972222,1,31.208497
-3.972222,1,31.209505
-3.972222,1,31.211488
-4.027778,1,31.212487
-4.027778,1,31.21847
-4.027778,1,31.220464
-4.027778,1,31.221462
-3.972222,1,31.223457
-4.027778,1,31.224454
-3.972222,1,31.230439
-3.972222,1,31.231436
-3.972222,1,31.233441
-4.027778,1,31.235425
-3.972222,1,31.236425
-3.972222,1,31.242406
-3.972222,1,31.243405
-3.972222,1,31.245398
-3.972222,1,31.247395
-3.972222,1,31.248391
-3.972222,1,31.254375
-3.972222,1,31.255372
-3.972222,1,31.257367
-3.972222,1,31.259373
-4.027778,1,31.260359
-3.972222,1,31.266351
-4.027778,1,31.267339
-4.027778,1,31.269345
-3.972222,1,31.271328
-3.972222,1,31.272327
-4.027778,1,31.278317
-4.027778,1,31.279308
-4.027778,1,31.281302
-3.972222,1,31.28231
-3.972222,1,31.2843
-3.972222,1,31.289282
-3.972222,1,31.291275
-4.027778,1,31.29327
-4.027778,1,31.294267
-3.972222,1,31.296262
-4.027778,1,31.301249
-3.972222,1,31.303252
-4.027778,1,31.304242
-3.972222,1,31.306236
-3.972222,1,31.30823
-3.972222,1,31.314215
-4.027778,1,31.315213
-3.972222,1,31.317206
-4.027778,1,31.319201
-4.027778,1,31.320199
-4.027778,1,31.325202
-3.972222,1,31.327179
-4.027778,1,31.329174
-4.027778,1,31.330172
-4.027778,1,31.332167
-3.972222,1,31.337152
-4.027778,1,31.339147
-3.972222,1,31.340175
-4.027778,1,31.342139
-4.027778,1,31.344135
-3.972222,1,31.349122
-3.972222,1,31.351116
-4.027778,1,31.352122
-3.972222,1,31.354108
-4.027778,1,31.356113
-3.972222,1,31.361093
-4.027778,1,31.36209
-4.027778,1,31.364081
-3.972222,1,31.365106
-4.027778,1,31.367073
-3.972222,1,31.372059
-4.027778,1,31.374054
-4.027778,1,31.376053
-3.972222,1,31.377046
-3.972222,1,31.37904
-3.972222,1,31.384032
-3.972222,1,31.386022
-4.027778,1,31.387021
-3.972222,1,31.389015
-3.972222,1,31.391021
-4.027778,1,31.395995
-4.027778,1,31.396993
-4.027778,1,31.398987
-3.972222,1,31.399986
-4.027778,1,31.401979
-4.027778,1,31.406979
-4.027778,1,31.408961
-3.972222,1,31.410958
-3.972222,1,31.411954
-4.027778,1,31.413949
-3.972222,1,31.418935
-3.972222,1,31.420936
-3.972222,1,31.421937
-3.972222,1,31.423921
-4.027778,1,31.425917
-4.027778,1,31.429905
-4.027778,1,31.431899
-3.972222,1,31.433894
-3.972222,1,31.434892
-3.972222,1,31.436887
-4.027778,1,31.441873
-3.972222,1,31.443868
-3.972222,1,31.444866
-4.027778,1,31.446868
-3.972222,1,31.447857
-4.027778,1,31.453842
-4.027778,1,31.45484
-3.972222,1,31.456833
-4.027778,1,31.45783
-3.972222,1,31.459825
-3.972222,1,31.464813
-3.972222,1,31.466806
-4.027778,1,31.467804
-3.972222,1,31.4698
-3.972222,1,31.470811
-4.027778,1,31.476799
-4.027778,1,31.477778
-3.972222,1,31.479771
-4.027778,1,31.480783
-4.027778,1,31.482763
-3.972222,1,31.487751
-4.027778,1,31.489746
-4.027778,1,31.490742
-3.972222,1,31.492738
-3.972222,1,31.493735
-4.027778,1,31.498721
-4.027778,1,31.499719
-3.972222,1,31.501713
-4.027778,1,31.503709
-4.027778,1,31.504705
-3.972222,1,31.509693
-4.027778,1,31.511686
-4.027778,1,31.51368
-4.027778,1,31.514678
-4.027778,1,31.516673
-4.027778,1,31.521662
-3.972222,1,31.523656
-3.972222,1,31.525649
-4.027778,1,31.526646
-4.027778,1,31.528641
-4.027778,1,31.533628
-3.972222,1,31.535622
-4.027778,1,31.53662
-4.027778,1,31.538614
-3.972222,1,31.539613
-3.972222,1,31.545595
-3.972222,1,31.546594
-3.972222,1,31.54859
-4.027778,1,31.550582
-3.972222,1,31.551593
-3.972222,1,31.557564
-4.027778,1,31.558561
-3.972222,1,31.560555
-4.027778,1,31.561553
-3.972222,1,31.563548
-4.027778,1,31.568534
-3.972222,1,31.570539
-4.027778,1,31.571553
-4.027778,1,31.573521
-4.027778,1,31.575516
-3.972222,1,31.580504
-4.027778,1,31.582498
