#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-4.027778,1,2.359067
-4.027778,1,2.361075
-3.972222,1,2.366049
-4.027778,1,2.367046
-3.972222,1,2.369042
-3.972222,1,2.371036
-4.027778,1,2.372032
-4.027778,1,2.377018
-4.027778,1,2.378016
-4.027778,1,2.380011
-4.027778,1,2.381024
-4.027778,1,2.383014
-3.972222,1,2.387991
-4.027778,1,2.389985
-4.027778,1,2.390982
-3.972222,1,2.392978
-3.972222,1,2.394971
-4.027778,1,2.399959
-3.972222,1,2.401953
-3.972222,1,2.402951
-3.972222,1,2.404945
-4.027778,1,2.405941
-4.027778,1,2.410942
-3.972222,1,2.411939
-3.972222,1,2.413921
-4.027778,1,2.414943
-3.972222,1,2.416913
-4.027778,1,2.4219
-4.027778,1,2.423894
-3.972222,1,2.42492
-3.972222,1,2.426887
-4.027778,1,2.427907
-4.027778,1,2.433868
-4.027778,1,2.434865
-4.027778,1,2.43686
-3.972222,1,2.437867
-3.972222,1,2.439851
-4.027778,1,2.444837
-3.972222,1,2.446845
-3.972222,1,2.44783
-4.027778,1,2.449825
-4.027778,1,2.450823
-4.027778,1,2.455809
-3.972222,1,2.457804
-3.972222,1,2.458802
-4.027778,1,2.460797
-4.027778,1,2.461792
-3.972222,1,2.466779
-4.027778,1,2.467777
-4.027778,1,2.469773
-3.972222,1,2.470772
-4.027778,1,2.472765
-4.027778,1,2.47775
-3.972222,1,2.478793
-3.972222,1,2.480742
-3.972222,1,2.482738
-3.972222,1,2.483761
-3.972222,1,2.48872
-3.972222,1,2.490715
-3.972222,1,2.492711
-4.027778,1,2.493708
-3.972222,1,2.495703
-4.027778,1,2.50069
-3.972222,1,2.501686
-3.972222,1,2.50368
-3.972222,1,2.504679
-4.027778,1,2.506686
-3.972222,1,2.511659
-3.972222,1,2.513654
-3.972222,1,2.514653
-3.972222,1,2.516646
-3.972222,1,2.517644
-3.972222,1,2.523627
-3.972222,1,2.525622
-4.027778,1,2.52662
-4.027778,1,2.528614
-4.027778,1,2.529611
-3.972222,1,2.535603
-4.027778,1,2.536594
-3.972222,1,2.538587
-4.027778,1,2.540584
-3.972222,1,2.542577
-3.972222,1,2.547564
-4.027778,1,2.549558
-4.027778,1,2.55057
-3.972222,1,2.55255
-3.972222,1,2.554544
-4.027778,1,2.559531
-4.027778,1,2.561538
-4.027778,1,2.562524
-4.027778,1,2.564518
-3.972222,1,2.565516
-4.027778,1,2.570502
-3.972222,1,2.572496
-4.027778,1,2.574492
-3.972222,1,2.576486
-3.972222,1,2.577484
-3.972222,1,2.582483
-3.972222,1,2.584475
-4.027778,1,2.585471
-3.972222,1,2.587458
-3.972222,1,2.589452
-4.027778,1,2.594439
-4.027778,1,2.59546
-3.972222,1,2.59743
-4.027778,1,2.599425
-4.027778,1,2.600425
-4.027778,1,2.60541
-3.972222,1,2.607403
-4.027778,1,2.609399
-4.027778,1,2.610409
-3.972222,1,2.611417
-4.027778,1,2.617377
-4.027778,1,2.619372
-4.027778,1,2.62037
-3.972222,1,2.622378
-4.027778,1,2.623362
-3.972222,1,2.628348
-3.972222,1,2.630342
-3.972222,1,2.631339
-4.027778,1,2.633334
-3.972222,1,2.635329
-4.027778,1,2.641313
-3.972222,1,2.643314
-3.972222,1,2.645303
-3.972222,1,2.647298
-3.972222,1,2.649292
-3.972222,1,2.654279
-3.972222,1,2.656283
-3.972222,1,2.658295
-4.027778,1,2.660262
-3.972222,1,2.661259
-4.027778,1,2.667244
-4.027778,1,2.668242
-4.027778,1,2.670242
-4.027778,1,2.671233
-3.972222,1,2.673227
-3.972222,1,2.678214
-3.972222,1,2.680208
-4.027778,1,2.681207
-3.972222,1,2.683203
-3.972222,1,2.684198
-3.972222,1,2.690183
-3.972222,1,2.691179
-4.027778,1,2.693181
-4.027778,1,2.694171
-3.972222,1,2.696167
-4.027778,1,2.701153
-4.027778,1,2.703155
-3.972222,1,2.704144
-3.972222,1,2.706141
-4.027778,1,2.707137
-3.972222,1,2.712123
-3.972222,1,2.714118
-3.972222,1,2.716114
-3.972222,1,2.71711
-4.027778,1,2.719105
-4.027778,1,2.724092
-3.972222,1,2.726087
-4.027778,1,2.727084
-3.972222,1,2.72908
-4.027778,1,2.730075
-4.027778,1,2.73606
-4.027778,1,2.737064
-3.972222,1,2.739052
-3.972222,1,2.74005
-3.972222,1,2.742043
-4.027778,1,2.74703
-4.027778,1,2.748037
-3.972222,1,2.750024
-4.027778,1,2.751023
-4.027778,1,2.753015
-4.027778,1,2.758002
-4.027778,1,2.759996
-3.972222,1,2.761001
-4.027778,1,2.762987
-4.027778,1,2.763985
-3.972222,1,2.768972
-3.972222,1,2.770966
-3.972222,1,2.772961
-4.027778,1,2.773959
